OBSERVATION.OBSERVATION_ID,OBSERVATION.TARGET,OBSERVATION.RA_NOM,OBSERVATION.DEC_NOM,OBSERVATION.REVOLUTION,OBSERVATION.START_UTC,OBSERVATION.END_UTC,OBSERVATION.DURATION,TARGET_TYPE.DESCRIPTION,PROPOSAL.PI_SURNAME,PROPOSAL.TYPE,OBSERVATION.PROPRIETARY_END_DATE,OBSERVATION.PPS_VERSION,OBSERVATION.COORD_OBS
862860301,GRB 211106A,22 54 20.45,-53 13 49.0,4020,2021-11-20 22:37:51.000,2021-11-21 07:21:11.000,31400,GAMMA RAY BURSTS,Fong,Target-Opportunity,2023-01-03 00:00:00.000,19.16_20210326_1200,
862860401,GRB 211106A,22 54 20.45,-53 13 49.0,4029,2021-12-08 19:02:47.000,2021-12-09 13:21:07.000,65900,GAMMA RAY BURSTS,Fong,Target-Opportunity,2023-01-03 00:00:00.000,19.16_20210326_1200,
862890101,WR66,15 14 57.74,-59 50 30.2,3879,2021-02-12 08:33:55.000,2021-02-13 00:40:35.000,58000,WOLF RAYET STAR WN8,Skinner,GO,2022-03-03 00:00:00.000,18.02_20200221_1200,
862900201,161639.57+093117.1,16 16 39.56,+09 31 17.1,3890,2021-03-06 11:37:34.000,2021-03-06 23:50:54.000,44000,QSO RADIO QUIET TYPE 1,Rosario,GO,2022-04-05 00:00:00.000,18.02_20200221_1200,
862900301,163924.03+113548.0,16 39 24.03,+11 35 48.0,3891,2021-03-08 09:19:14.000,2021-03-08 21:15:54.000,43000,QSO RADIO QUIET TYPE 1,Rosario,GO,2022-04-05 00:00:00.000,18.02_20200221_1200,
862900501,152335.98+045235.5,15 23 35.99,+04 52 35.5,3883,2021-02-20 21:31:36.000,2021-02-21 10:13:16.000,45700,QSO RADIO QUIET TYPE 1,Rosario,GO,2022-03-10 00:00:00.000,18.02_20200221_1200,
862950401,UGC10097,15 55 43.24,+47 52 02.2,3890,2021-03-07 00:42:35.000,2021-03-07 04:19:15.000,13000,ELLIPTICAL GALAXY,Buote,GO,2022-04-05 00:00:00.000,18.02_20200221_1200,
862950801,NGC5872,15 10 55.65,-11 28 48.5,3882,2021-02-19 09:28:25.000,2021-02-19 15:46:45.000,22700,ELLIPTICAL GALAXY,Buote,GO,2022-03-10 00:00:00.000,18.02_20200221_1200,
862980101,NGC 1358,03 33 39.66,-05 05 21.8,3885,2021-02-25 00:25:39.000,2021-02-25 10:30:39.000,36300,SEYFERT,Marchesi,GO,2022-03-17 00:00:00.000,18.02_20200221_1200,
863020201,W63 X-1,20 18 21.20,+46 14 04.8,3905,2021-04-05 21:56:16.000,2021-04-06 12:37:56.000,52900,HMXRB X-RAY PULSAR HARD TRANSIENT,Zhao,GO,2022-06-01 00:00:00.000,19.16_20210326_1200,
863090101,J1007,10 07 58.26,+21 15 29.2,3916,2021-04-27 05:57:05.000,2021-04-28 02:43:45.000,74800,QSO RADIO QUIET TYPE 1,Yang,GO,2022-05-26 00:00:00.000,19.16_20210326_1200,
863230301,1ES1927+654,19 27 19.54,+65 33 54.2,3863,2021-01-12 04:59:00.000,2021-01-12 18:20:40.000,48100,SEYFERT,Ricci,GO,2022-02-03 00:00:00.000,18.02_20200221_1200,
863400301,GJ 273,07 27 25.30,+05 12 19.0,3913,2021-04-20 22:04:10.000,2021-04-21 06:09:10.000,29100,STAR M3V,Wolk,Fulfill,2022-05-20 00:00:00.000,19.16_20210326_1200,
863401101,GJ 143,03 26 59.22,-63 29 56.7,3910,2021-04-15 14:50:08.000,2021-04-15 21:13:28.000,23000,STAR K4V,Wolk,Fulfill,2022-05-17 00:00:00.000,19.16_20210326_1200,
863401401,HR 858,02 51 56.25,-30 48 52.3,3866,2021-01-17 18:01:30.000,2021-01-18 11:31:30.000,63000,STAR F6V,Wolk,Fulfill,2022-02-03 00:00:00.000,18.02_20200221_1200,
863710201,2M J08393203+2039203,08 39 32.04,+20 39 20.3,3908,2021-04-11 06:04:08.000,2021-04-11 14:57:28.000,32000,STAR F9V,Nunez,GO,2022-05-17 00:00:00.000,19.16_20210326_1200,
863730101,HD 27697,04 22 56.19,+17 32 32.5,3880,2021-02-15 05:46:21.000,2021-02-15 16:04:41.000,37100,STAR K6VI,Schmitt,GO,2022-03-08 00:00:00.000,18.02_20200221_1200,
863730201,HD 28305,04 28 36.99,+19 10 48.8,3878,2021-02-10 07:40:12.000,2021-02-11 01:10:12.000,63000,STAR K6VI,Schmitt,GO,2022-02-23 00:00:00.000,18.02_20200221_1200,
863890201,CXOU J132552.8-43054,13 25 52.69,-43 05 46.0,3872,2021-01-29 17:50:05.000,2021-01-30 17:16:45.000,84400,LMXRB BLACK HOLE FLARES,Irwin,GO,2022-03-03 00:00:00.000,18.02_20200221_1200,
863941801,SDSS J1609+21,03 15 35.14,-01 00 58.5,3885,2021-02-24 15:19:55.000,2021-02-24 18:56:35.000,13000,NL SEYFERT 1 RADIO QUIET TYPE 1,Chilingarian,GO,2022-03-17 00:00:00.000,18.02_20200221_1200,
863960101,HSC J1441-0053,14 41 32.69,-00 53 58.6,3877,2021-02-08 03:35:30.000,2021-02-08 15:58:50.000,44600,CLUSTER OF GALAXIES (NON-ABELL),Tanaka,GO,2022-02-26 00:00:00.000,18.02_20200221_1200,
864010101,PSR J1023+0038,10 23 47.67,+00 38 41.0,3935,2021-06-03 19:48:47.000,2021-06-04 13:43:47.000,64500,X-RAY BINARY,Campana,GO,2022-06-18 00:00:00.000,19.17_20220121_1250,"NiCER, NuS, VLA, VLT, HST"
864050201,S0721,13 05 54.49,-37 39 41.0,3877,2021-02-08 22:39:03.000,2021-02-09 02:15:43.000,13000,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-02-23 00:00:00.000,18.02_20200221_1200,
864050401,RXCJ0137.2-0912,01 37 15.41,-09 12 10.0,3863,2021-01-11 05:00:52.000,2021-01-11 11:45:52.000,24300,CLUSTER OF GALAXIES (NON-ABELL),Reiprich,Fulfill,2022-02-03 00:00:00.000,18.02_20200221_1200,
864050501,A0566,07 04 24.49,+63 18 57.9,3896,2021-03-17 23:48:09.000,2021-03-18 04:48:09.000,18000,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-04-15 00:00:00.000,19.16_20210326_1200,
864050601,RXCJ0736.4+3925,07 36 25.38,+39 25 59.9,3914,2021-04-23 05:36:32.000,2021-04-23 09:38:12.000,14500,CLUSTER OF GALAXIES (NON-ABELL),Reiprich,Fulfill,2022-05-21 00:00:00.000,19.16_20210326_1200,
864051201,S0792,17 05 10.30,-82 10 26.0,3887,2021-02-28 01:15:19.000,2021-02-28 05:06:59.000,13900,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-03-25 00:00:00.000,18.02_20200221_1200,
864052301,MS1111.8,11 14 11.99,-38 11 21.1,3862,2021-01-09 04:25:06.000,2021-01-09 10:53:06.000,23280,CLUSTER OF GALAXIES (NON-ABELL),Reiprich,Fulfill,2022-02-03 00:00:00.000,18.02_20200221_1200,
864052501,RXCJ2101.5-1317,21 01 34.70,-13 17 30.8,3914,2021-04-23 21:09:02.000,2021-04-24 00:45:42.000,13000,CLUSTER OF GALAXIES (NON-ABELL),Reiprich,Fulfill,2022-05-21 00:00:00.000,19.16_20210326_1200,
864052601,RXJ0503.1+0608,05 03 07.19,+06 07 37.9,3882,2021-02-18 13:50:58.000,2021-02-18 17:44:18.000,14000,CLUSTER OF GALAXIES (NON-ABELL),Reiprich,Fulfill,2022-03-10 00:00:00.000,18.02_20200221_1200,
864052801,A2072,15 25 54.49,+18 14 09.9,3873,2021-02-01 10:58:05.000,2021-02-01 17:06:25.000,22100,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-02-15 00:00:00.000,18.02_20200221_1200,
864053001,A1366,11 44 40.19,+67 24 36.0,3904,2021-04-02 22:54:38.000,2021-04-03 03:04:38.000,15000,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-04-30 00:00:00.000,19.16_20210326_1200,
864053101,A0311,02 09 31.10,+19 46 09.8,3877,2021-02-09 08:39:28.000,2021-02-09 16:29:28.000,28200,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-02-23 00:00:00.000,18.02_20200221_1200,
864053201,RBS0238,01 45 16.69,-60 33 54.0,3915,2021-04-26 05:57:08.000,2021-04-26 11:20:28.000,19400,CLUSTER OF GALAXIES (NON-ABELL),Reiprich,Fulfill,2022-06-07 00:00:00.000,19.16_20210326_1200,
864053401,S0927,21 16 48.59,-59 29 53.1,3902,2021-03-29 23:15:46.000,2021-03-30 04:02:26.000,17200,CLUSTER OF GALAXIES ABELL CLASS 1,Reiprich,Fulfill,2022-06-03 00:00:00.000,19.16_20210326_1200,
864080701,RMJ004727.3-231808.9,00 47 27.30,-23 18 08.9,3861,2021-01-08 04:54:02.000,2021-01-08 12:04:30.000,25828,CLUSTER OF GALAXIES (NON-ABELL),Giles,GO,2022-01-30 00:00:00.000,18.02_20200221_1200,
864080901,RMJ031918.1-235555.5,03 19 18.09,-23 55 55.5,3880,2021-02-14 08:04:43.000,2021-02-14 17:14:43.000,33000,CLUSTER OF GALAXIES (NON-ABELL),Giles,GO,2022-03-03 00:00:00.000,18.02_20200221_1200,
864081201,RMJ032657.5-152006.9,03 26 57.50,-15 20 06.9,3879,2021-02-13 06:56:36.000,2021-02-13 16:13:16.000,33400,CLUSTER OF GALAXIES (NON-ABELL),Giles,GO,2022-03-03 00:00:00.000,18.02_20200221_1200,
864270101,NGC628,01 36 41.75,+15 47 01.2,3864,2021-01-13 05:00:24.000,2021-01-14 12:13:24.000,112380,SPIRAL GALAXY HII REGION STEEP RADIO SP,Wezgowiec,GO,2022-01-29 00:00:00.000,18.02_20200221_1200,
864340101,DS Tuc,23 39 39.77,-69 11 46.1,3908,2021-04-11 16:45:31.000,2021-04-12 01:05:31.000,30000,STAR G6V,Maggio,GO,2022-05-17 00:00:00.000,19.16_20210326_1200,
864340201,HD 33512,05 09 02.27,-36 27 52.0,3869,2021-01-23 18:05:29.000,2021-01-24 02:58:49.000,32000,STAR F6V,Maggio,GO,2022-02-08 00:00:00.000,18.02_20200221_1200,
864340301,V1298 Tau,04 05 19.70,+20 09 25.2,3885,2021-02-24 06:20:07.000,2021-02-24 14:38:27.000,29900,STAR K1V,Maggio,GO,2022-03-17 00:00:00.000,18.02_20200221_1200,
864350101,Mrk 1018,02 06 15.99,-00 17 29.0,3875,2021-02-04 04:05:13.000,2021-02-04 22:08:33.000,65000,SEYFERT RADIO QUIET TYPE 1.5,Krumpe,GO,2022-02-15 00:00:00.000,18.02_20200221_1200,
864430101,3c 234,10 01 49.50,+28 47 09.0,3929,2021-05-22 20:13:31.000,2021-05-23 22:40:11.000,95200,RADIO GALAXY RADIO LOUD TYPE 2,Di Gesu,GO,2022-07-02 00:00:00.000,19.16_20210326_1200,
